epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,647.187,1.53261,3.35047,1.16929,0.46604,0.11994,0.13063,0.09115,1.35258,2.64861,1.15346,0.000219917,0.000219917,0.000219917
2,1328.84,1.27388,1.92533,1.06982,0.38706,0.2735,0.27749,0.19957,1.21837,1.74147,1.12294,0.000433493,0.000433493,0.000433493
3,1973.62,1.21876,1.64729,1.07258,0.37096,0.29435,0.27211,0.19702,1.15261,1.74897,1.1037,0.000638266,0.000638266,0.000638266
4,2678.44,1.18406,1.50445,1.05616,0.40865,0.3971,0.37292,0.26331,1.10441,1.48794,1.09489,0.00062738,0.00062738,0.00062738
5,3502.34,1.13062,1.38594,1.03479,0.42084,0.41312,0.42568,0.30728,1.06632,1.34395,1.07418,0.000614174,0.000614174,0.000614174
6,4330.82,1.09849,1.33588,1.03754,0.57681,0.43598,0.47579,0.35321,1.05423,1.32609,1.08384,0.000600967,0.000600967,0.000600967
7,5032.31,1.05813,1.28161,1.02381,0.5769,0.48829,0.53075,0.39734,1.01828,1.25001,1.05409,0.00058776,0.00058776,0.00058776
8,5589.32,1.01709,1.21462,1.00255,0.64028,0.42615,0.51015,0.37751,1.025,1.26908,1.04553,0.000574554,0.000574554,0.000574554
9,6219.17,0.99936,1.1595,0.98211,0.59608,0.48868,0.53677,0.40285,1.01041,1.21948,1.06051,0.000561347,0.000561347,0.000561347
10,6800.48,0.99982,1.15098,0.99568,0.58564,0.48374,0.52802,0.40532,1.02179,1.23929,1.06622,0.000548141,0.000548141,0.000548141
11,7435.81,0.98753,1.11708,0.98654,0.70277,0.49115,0.57017,0.42446,0.99483,1.17052,1.04463,0.000534934,0.000534934,0.000534934
12,8069.39,0.97184,1.09174,0.98567,0.64807,0.52522,0.57194,0.42785,0.98366,1.16588,1.05053,0.000521727,0.000521727,0.000521727
13,8779.07,0.97006,1.05981,0.96889,0.71429,0.48555,0.55768,0.4209,1.00269,1.16496,1.05242,0.000508521,0.000508521,0.000508521
14,9519.93,0.96383,1.06199,0.98293,0.64858,0.52915,0.57604,0.43659,0.99637,1.16903,1.06401,0.000495314,0.000495314,0.000495314
